airfoil,reynolds,best_ld,best_ld_alpha_deg,cl_max,cd_min,design_alpha_deg,cl_at_design_alpha,cd_at_design_alpha,ld_at_design_alpha
Pareto front — UIUC NACA6412,50000.0,27.89409300704656,12.0,0.5873386333302402,0.02105602190334232,4.0,0.5047166282188799,0.02105602190334232,23.970179672864223
Pareto front — UIUC NACA6412,100000.0,32.740699979551366,12.0,0.5873386333302402,0.017939098238494298,4.0,0.5047166282188799,0.017939098238494298,28.135005534215907
Pareto front — UIUC NACA6412,250000.0,39.892727213825495,12.0,0.5873386333302402,0.014722950130285605,4.0,0.5047166282188799,0.014722950130285605,34.28094395162425
Pareto front — UIUC NACA6412,500000.0,45.88809053732008,12.0,0.5873386333302402,0.01279936965022693,4.0,0.5047166282188799,0.01279936965022693,39.43292849659447
Pareto front — UIUC NACA6412,1000000.0,52.4053438602222,12.0,0.5873386333302402,0.011207609569299176,4.0,0.5047166282188799,0.011207609569299176,45.033387815492965
Pareto front — UIUC NACA6412,2000000.0,59.460306068198705,12.0,0.5873386333302402,0.009877827279539819,4.0,0.5047166282188799,0.009877827279539819,51.095915522263844
Reference — UIUC NACA0012,50000.0,19.204301743838144,12.0,0.4040700944912899,0.021040603291964992,4.0,0.31228585284020094,0.021040603291964992,14.842057925185872
Reference — UIUC NACA0012,100000.0,22.541054894774415,12.0,0.4040700944912899,0.017925962044702863,4.0,0.31228585284020094,0.017925962044702863,17.42086991266846
Reference — UIUC NACA0012,250000.0,27.465025322938242,12.0,0.4040700944912899,0.01471216901277781,4.0,0.31228585284020094,0.01471216901277781,21.226363873945065
Reference — UIUC NACA0012,500000.0,31.592665045772918,12.0,0.4040700944912899,0.012789997105526058,4.0,0.31228585284020094,0.012789997105526058,24.416413097175326
Reference — UIUC NACA0012,1000000.0,36.079611415473,12.0,0.4040700944912899,0.011199402616570351,4.0,0.31228585284020094,0.011199402616570351,27.884152711694707
Reference — UIUC NACA0012,2000000.0,40.93675529174563,12.0,0.4040700944912899,0.009870594081323427,4.0,0.31228585284020094,0.009870594081323427,31.637999725983093
Reference — UIUC NACA2412,50000.0,5.947438771198453,12.0,0.12513014870320124,0.021039333655550455,4.0,0.1095973630608641,0.021039333655550455,5.209165121631638
Reference — UIUC NACA2412,100000.0,6.9808080300502855,12.0,0.12513014870320124,0.01792488035261154,4.0,0.1095973630608641,0.01792488035261154,6.114259113863287
Reference — UIUC NACA2412,250000.0,8.505727447757963,12.0,0.12513014870320124,0.014711281248047102,4.0,0.1095973630608641,0.014711281248047102,7.449885649858877
Reference — UIUC NACA2412,500000.0,9.784028780895602,12.0,0.12513014870320124,0.012789225328888208,4.0,0.1095973630608641,0.012789225328888208,8.569507553620655
Reference — UIUC NACA2412,1000000.0,11.173604885218417,12.0,0.12513014870320124,0.011198726819912538,4.0,0.1095973630608641,0.011198726819912538,9.786591353044546
Reference — UIUC NACA2412,2000000.0,12.677828584281142,12.0,0.12513014870320124,0.00986999846790375,4.0,0.1095973630608641,0.00986999846790375,11.104091192847068
Reference — UIUC NACA4412,50000.0,6.309010735300661,12.0,0.1327885876989157,0.021047449952165526,4.0,0.11644630948426142,0.021047449952165526,5.532561414751363
Reference — UIUC NACA4412,100000.0,7.405203230664874,12.0,0.1327885876989157,0.01793179519355248,4.0,0.11644630948426142,0.01793179519355248,6.493845609285713
Reference — UIUC NACA4412,250000.0,9.022829463889217,12.0,0.1327885876989157,0.014716956386060106,4.0,0.11644630948426142,0.014716956386060106,7.912390743683885
Reference — UIUC NACA4412,500000.0,10.378844572908893,12.0,0.1327885876989157,0.012794158999694785,4.0,0.11644630948426142,0.012794158999694785,9.1015212087828
Reference — UIUC NACA4412,1000000.0,11.852899354631903,12.0,0.1327885876989157,0.01120304692767211,4.0,0.11644630948426142,0.01120304692767211,10.394164215864611
Reference — UIUC NACA4412,2000000.0,13.448571681960138,12.0,0.1327885876989157,0.00987380599510339,4.0,0.11644630948426142,0.00987380599510339,11.793457309370812
