airfoil,best_ld,best_ld_alpha_deg,cl_objective,cl_objective_name,cl_max,cd_min,max_thickness_pct,max_camber_pct,pareto_rank,pareto_front
UIUC NACA6412,52.4053438602222,12.0,0.5873386333302402,Maximum Cl over envelope,0.5873386333302402,0.011207609569299176,12.042656165321805,5.998615737147942,1,True
UIUC NACA4424,22.099693044793625,12.0,0.33195048075298794,Maximum Cl over envelope,0.33195048075298794,0.015020592371132086,24.0199544475616,4.0,2,False
UIUC NACA2424,21.770137099393146,12.0,0.32684578970065686,Maximum Cl over envelope,0.32684578970065686,0.015013492483231437,23.99859064321638,1.9999999999999991,3,False
UIUC NACA0024,17.846498593356742,12.0,0.2680043906477152,Maximum Cl over envelope,0.2680043906477152,0.015017197308803102,24.008,0.0,4,False
UIUC NACA4421,17.80484888799078,12.0,0.24484633146226448,Maximum Cl over envelope,0.24484633146226448,0.013751665796355693,21.029999999999998,4.0,5,False
UIUC NACA2421,17.352046418902958,12.0,0.23842277399083495,Maximum Cl over envelope,0.23842277399083495,0.01374032596703419,21.0,1.9999999999999998,6,False
UIUC NACA0021,16.872599111411628,12.0,0.23188599146799532,Maximum Cl over envelope,0.23188599146799532,0.013743347420087837,21.008,0.0,7,False
UIUC NACA4415,16.316000591320314,12.0,0.19406225130557336,Maximum Cl over envelope,0.19406225130557336,0.011893984081418176,14.993822818791946,4.009355992567358,8,False
UIUC NACA4418,16.264464796400546,12.0,0.20704228753539003,Maximum Cl over envelope,0.20704228753539003,0.012729732587401838,18.02,4.0,8,False
UIUC NACA2418,15.80033827580913,12.0,0.20103795441289551,Maximum Cl over envelope,0.20103795441289551,0.01272364875381761,18.0,1.9999999999999998,9,False
UIUC NACA0018,15.271928847848374,12.0,0.1943425186232631,Maximum Cl over envelope,0.1943425186232631,0.012725473026980712,18.006,0.0,10,False
UIUC NACA2415,13.698936922408084,12.0,0.1629566572817262,Maximum Cl over envelope,0.1629566572817262,0.011895569576290937,15.0,2.0,11,False
UIUC NACA0015,13.110390932523794,12.0,0.1559687453189725,Maximum Cl over envelope,0.1559687453189725,0.011896574718611233,15.004000000000001,0.0,12,False
UIUC NACA4412,11.852899354631903,12.0,0.1327885876989157,Maximum Cl over envelope,0.1327885876989157,0.01120304692767211,12.02,4.0,13,False
UIUC NACA2412,11.173604885218417,12.0,0.12513014870320124,Maximum Cl over envelope,0.12513014870320124,0.011198726819912538,12.0,2.0,14,False
UIUC NACA1412,10.495801117089647,12.0,0.1175469455822657,Maximum Cl over envelope,0.1175469455822657,0.011199425777120669,12.003236998198444,0.9999999999999996,15,False
UIUC NACA0010,8.712288392900446,12.0,0.09395566785397791,Maximum Cl over envelope,0.09395566785397791,0.010784269713860874,10.004,0.0,16,False
UIUC NACA1410,8.582119119433221,12.0,0.09255135635808522,Maximum Cl over envelope,0.09255135635808522,0.010784207847746289,10.003691155439045,0.9742197116644431,17,False
UIUC NACA2410,8.444408564698465,12.0,0.09106485059025612,Maximum Cl over envelope,0.09106485059025612,0.010784041285135035,10.00384171780128,2.0,18,False
UIUC NACA2411,8.380079461472308,12.0,0.09208338821559939,Maximum Cl over envelope,0.09208338821559939,0.010988366952718744,11.004521727487226,2.499724241031602,18,False
UIUC NACA0008,6.773946540711436,12.0,0.0704118758686223,Maximum Cl over envelope,0.0704118758686223,0.010394513072320064,8.001999999999999,0.0,19,False
UIUC NACA1408,6.598219505333072,12.0,0.06858532095422132,Maximum Cl over envelope,0.06858532095422132,0.010394519445554456,8.00203357409096,0.9999999999999999,20,False
UIUC NACA2408,6.3517236160523005,12.0,0.0660233667812695,Maximum Cl over envelope,0.0660233667812695,0.010394559142090646,8.002983955001293,2.0,21,False
UIUC NACA0006,4.807945152909008,12.0,0.048184351135042984,Maximum Cl over envelope,0.048184351135042984,0.010021817970591746,6.002,0.0,22,False
